country_code,year,P,G,g,E,F,e,f,ef
CHN,1965,0.7151850000000001,0.133936004475429,0.18727462750956603,5.214398256197483,488.68881553269995,38.93201291631841,93.71911992949087,3648.673987600933
CHN,1966,0.7354,0.14820018895765302,0.20152323763618848,5.6669841383577415,530.5480913151,38.23871061309534,93.62088870586634,3579.9420705644293
CHN,1967,0.75455,0.139649038048535,0.18507592346237492,5.096967555628347,476.1375456643,36.49840791496821,93.41584784830015,3409.5297204898648
CHN,1968,0.77451,0.13392342749952,0.17291374869210208,5.145507593024789,476.89074967010015,38.421265712029594,92.68099231192849,3560.921032071177
CHN,1969,0.7960250000000001,0.156610056112728,0.19674012262520396,6.264583646107722,582.76484318,40.001158301089376,93.02531119399777,3721.1201990792056
CHN,1970,0.818315,0.18683579693662,0.2283176978750481,8.02455048633574,748.9334468771999,42.949748484536364,93.33026792622077,4008.511533425574
CHN,1971,0.8411050000000001,0.200026404206608,0.23781383323914135,9.51554137265874,882.2567041236999,47.57142643443264,92.71744712904216,4410.701215287626
CHN,1972,0.8620300000000001,0.207647410203388,0.24088188369707317,10.25581264472924,946.0956695293004,49.39051556040984,92.2497029053594,4556.260386790337
CHN,1973,0.8819400000000001,0.223760849238586,0.2537143674610359,10.820972569117451,987.8905839711002,48.35954370900488,91.29406600572058,4414.939375376421
CHN,1974,0.9003500000000001,0.228929724857096,0.25426747915487974,11.155626100397166,1007.8870585994003,48.72947847799495,90.34787017140322,4402.604595050076
CHN,1975,0.9163950000000001,0.24889239686572198,0.27159947060571255,12.496515118945256,1132.5873890356997,50.208504865205484,90.63225853411312,4550.51019355458
CHN,1976,0.9306850000000001,0.244984786228084,0.2632306164041367,13.157598995937345,1184.641670234,53.707820793767375,90.03479058753653,4835.572398079787
CHN,1977,0.943455,0.263530134543521,0.27932454069724677,14.352333080839099,1295.348444153,54.46182883676579,90.2535104820232,4915.371239789195
CHN,1978,0.956165,0.294275257182104,0.3077661880346007,15.738803717579515,1420.5720735470002,53.483272322280214,90.25921531509329,4827.3581922924595
CHN,1979,0.969005,0.316640176727767,0.32676836211141014,16.19679116793369,1460.6095705989,51.15204057588359,90.17894689477792,4612.837150652132
CHN,1980,0.9812350000000001,0.341359298332422,0.34788740549656505,16.563446476249617,1473.3293610251596,48.52203105983604,88.95065185484022,4316.066292093219
CHN,1981,0.993885,0.359015813760099,0.36122470281783003,16.332642469541458,1450.4251804819662,45.492821885710114,88.80529792939791,4040.00360120952
CHN,1982,1.0086300000000001,0.39109181678803,0.38774557249737757,17.044981268044236,1514.134153817585,43.583068058114186,88.83167015596955,3871.556726123572
CHN,1983,1.0233100000000002,0.433467453820362,0.42359348957829196,18.129409929506338,1609.5100562830673,41.82415489265209,88.77895433670601,3713.1047373860783
CHN,1984,1.036825,0.49909083616678696,0.48136458531264864,19.451699104555356,1735.1957836975907,38.97426619561285,89.2053580702998,3476.7133715068253
CHN,1985,1.05104,0.5661855948037751,0.5386908155767384,21.028508449002985,1836.6190135764389,37.14066313589435,87.33948097319843,3243.8462412894173
CHN,1986,1.0667900000000001,0.616800939042583,0.5781840278242043,22.03593544491303,1919.5200508537903,35.7261703899444,87.10862561983542,3112.0576013281157
CHN,1987,1.084035,0.688898377058623,0.6354945892509217,23.76064602526307,2064.7904265743186,34.49078531250643,86.89959121393282,2997.2351443043276
CHN,1988,1.10163,0.766292769685242,0.6955990393192286,25.520657451900984,2214.82759450959,33.30405617996853,86.78567935343735,2890.3151408036133
CHN,1989,1.1186500000000001,0.7983687727279429,0.7136895121154453,26.76990579092112,2312.4292398929497,33.53075258624049,86.38167268699162,2896.442494853123
CHN,1990,1.1351850000000001,0.8295619499874439,0.7307724731981518,27.111473746735662,2327.412864993653,32.681674644245696,85.8460475714229,2805.5925962236815
CHN,1991,1.1507800000000001,0.906662067367767,0.7878674180710187,28.493434125274113,2459.355261564701,31.426741176011276,86.31305200882105,2712.537945592819
CHN,1992,1.16497,1.03555463001639,0.8889109848462965,29.98315698575262,2583.2731373683114,28.953718245920125,86.15747629897112,2494.5792935399504
CHN,1993,1.1784400000000002,1.17916095551157,1.000611788051636,32.25051504422768,2792.124219778407,27.35039257658938,86.57611253492685,2367.89066558523
CHN,1994,1.191835,1.3330669150111498,1.1184995532193214,34.23537148044862,2941.133299862395,25.68166015894429,85.90919778808411,2206.290822121105
CHN,1995,1.204855,1.47902744258009,1.2275563802947989,35.26968994740978,3030.8905176075073,23.8465419450795,85.93470830412268,2049.245626112433
CHN,1996,1.2175500000000001,1.62587079590269,1.3353626511458994,37.10653982627504,3180.449530461389,22.822563711572997,85.71129362510167,1956.1514595602232
CHN,1997,1.230075,1.77595117706749,1.4437747105399996,37.32609760581119,3168.5106890767443,21.01752463006629,84.88727438207866,1784.1203801045333
CHN,1998,1.241935,1.91514337372051,1.5420640965272014,37.36516966528538,3165.698032099725,19.51037722710902,84.72323451111906,1652.9822652127543
CHN,1999,1.2527350000000002,2.0619867270431103,1.645987959978056,38.66086695900674,3296.8168381540218,18.74932871873838,85.275295084555,1598.8545391277366
CHN,2000,1.262645,2.2370805050736298,1.771741467374939,39.99634683643582,3352.6708198068495,17.878814260696178,83.82442610365199,1498.681344816646
CHN,2001,1.2718500000000001,2.42365101812327,1.90561073878466,42.24775277583239,3514.9575413377956,17.431450509961007,83.19868656655531,1450.2737873786664
CHN,2002,1.2804,2.64494601152091,2.065718534458693,46.06949831768592,3834.2112581214333,17.41793523081963,83.22667704522176,1449.6368702500156
CHN,2003,1.2884,2.91038229348773,2.258912056417052,53.70973478102434,4522.606128421664,18.45452911846159,84.2045887372265,1553.9560347592294
CHN,2004,1.296075,3.2046575506698396,2.4725865020695865,62.84869583788322,5323.30605409195,19.611672961669974,84.7003423559225,1661.1154140258352
CHN,2005,1.30372,3.56985314482371,2.738205400564316,71.445642183674,6083.598352776954,20.01360820325907,85.15002688529425,1704.1592765792557
CHN,2006,1.31102,4.0239198666528795,3.0693047143848906,78.36247960570046,6661.572642925547,19.474165043669927,85.00972246469027,1655.4933655939537
CHN,2007,1.317885,4.596579517126269,3.487845689970118,85.23212151556764,7223.889381928969,18.542509968119475,84.75548013444116,1571.5793352456274
CHN,2008,1.3246550000000001,5.04034660495104,3.8050259161449884,88.45196964874366,7362.311888868236,17.54878713338065,83.23513787318818,1460.6757165541694
CHN,2009,1.33126,5.5141297690058,4.142038196149362,92.3863957559529,7692.531960650896,16.75448341372826,83.26476964174921,1395.0582019105914
CHN,2010,1.3377050000000001,6.10062035655732,4.560512487100907,98.85236650795598,8118.673770609654,16.203658108589465,82.12928083978885,1330.794787432266
CHN,2011,1.34413,6.682402540005611,4.971544820817637,106.75912930965279,8806.716042263657,15.976159572925571,82.49145622684827,1317.8966680831327
CHN,2012,1.350695,7.207389598806549,5.33606002747219,111.00824244105117,8979.379614369085,15.402003862734533,80.88930530665247,1245.8573927869745
CHN,2013,1.35738,7.76651258744812,5.721693694800365,115.28963656913542,9218.752050324556,14.84445370699086,79.96167153147691,1186.987331382618
CHN,2014,1.36427,8.333286732774031,6.108238642478417,117.8810660820459,9224.102146265734,14.145807034147857,78.24922570555738,1106.8984474022968
CHN,2015,1.37122,8.90830058586769,6.496623872075735,119.28360441536579,9164.453065285195,13.390163843887322,76.82910916552296,1028.7543597062577
CHN,2016,1.378665,9.50515672450732,6.894464372786223,121.1501325299343,9123.049427953401,12.745726981815112,75.30366857584113,959.8000003967612
